id,name,full_name,owner,description,language,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,size,license,url,clone_url,topics
422274596,ColossalAI,hpcaitech/ColossalAI,hpcaitech,"Making large AI models cheaper, faster and more accessible",Python,41104,4526,41104,475,2021-10-28T16:19:44Z,2025-08-21T20:46:44Z,2025-08-18T09:10:00Z,66376,Apache License 2.0,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI.git,"ai, big-model, data-parallelism, deep-learning, distributed-computing, foundation-models, heterogeneous-training, hpc, inference, large-scale, model-parallelism, pipeline-parallelism"
204086862,streamlit,streamlit/streamlit,streamlit,Streamlit — A faster way to build and share data apps.,Python,41015,3663,41015,1233,2019-08-24T00:14:52Z,2025-08-22T03:26:09Z,2025-08-22T03:52:35Z,722455,Apache License 2.0,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit.git,"data-analysis, data-science, data-visualization, deep-learning, developer-tools, machine-learning, python, streamlit"
125266328,black,psf/black,psf,The uncompromising Python code formatter,Python,40834,2613,40834,359,2018-03-14T19:54:45Z,2025-08-22T03:28:53Z,2025-08-19T12:31:01Z,7312,MIT License,https://github.com/psf/black,https://github.com/psf/black.git,"autopep8, code, codeformatter, formatter, gofmt, hacktoberfest, pre-commit-hook, python, yapf"
519832,mitmproxy,mitmproxy/mitmproxy,mitmproxy,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,Python,40244,4278,40244,367,2010-02-16T04:10:13Z,2025-08-22T04:16:11Z,2025-08-19T21:04:35Z,66750,MIT License,https://github.com/mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy.git,"debugging, http, http2, man-in-the-middle, mitmproxy, proxy, python, security, ssl, tls, websocket"
90563585,cheat.sh,chubin/cheat.sh,chubin,the only cheat sheet you need,Python,39925,1849,39925,137,2017-05-07T21:40:56Z,2025-08-22T00:07:45Z,2025-08-08T05:15:06Z,4713,MIT License,https://github.com/chubin/cheat.sh,https://github.com/chubin/cheat.sh.git,"cheatsheet, cli, command-line, curl, documentation, examples, hacktoberfest2021, help, terminal, tldr"
235860204,DeepSpeed,deepspeedai/DeepSpeed,deepspeedai,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",Python,39827,4524,39827,1197,2020-01-23T18:35:18Z,2025-08-22T02:39:18Z,2025-08-22T02:59:00Z,232059,Apache License 2.0,https://github.com/deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed.git,"billion-parameters, compression, data-parallelism, deep-learning, gpu, inference, machine-learning, mixture-of-experts, model-parallelism, pipeline-parallelism, pytorch, trillion-parameters, zero"
162405963,gradio,gradio-app/gradio,gradio-app,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,39575,3029,39575,442,2018-12-19T08:24:04Z,2025-08-22T03:34:06Z,2025-08-21T21:36:43Z,303907,Apache License 2.0,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio.git,"data-analysis, data-science, data-visualization, deep-learning, deploy, gradio, gradio-interface, hacktoberfest, interface, machine-learning, models, python, python-notebook, ui, ui-components"
896144595,ai-hedge-fund,virattt/ai-hedge-fund,virattt,An AI Hedge Fund Team,Python,39476,6953,39476,38,2024-11-29T16:30:01Z,2025-08-22T05:01:00Z,2025-08-20T19:46:02Z,1974,,https://github.com/virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund.git,
154747577,bert,google-research/bert,google-research,TensorFlow code and pre-trained models for BERT,Python,39441,9701,39441,885,2018-10-25T22:57:34Z,2025-08-22T03:20:45Z,2024-07-23T23:39:41Z,317,Apache License 2.0,https://github.com/google-research/bert,https://github.com/google-research/bert.git,"google, natural-language-processing, natural-language-understanding, nlp, tensorflow"
770153867,MoneyPrinterTurbo,harry0703/MoneyPrinterTurbo,harry0703,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,Python,39339,5699,39339,190,2024-03-11T02:57:34Z,2025-08-22T05:03:32Z,2025-06-11T06:34:54Z,531961,MIT License,https://github.com/harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo.git,"ai, automation, chatgpt, moviepy, python, shortvideo, tiktok"
70905478,Deep-Learning-Papers-Reading-Roadmap,floodsung/Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,Python,39230,7348,39230,91,2016-10-14T11:49:48Z,2025-08-22T00:24:09Z,2022-11-27T13:18:32Z,3638,,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap.git,deep-learning
615882673,FastChat,lm-sys/FastChat,lm-sys,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",Python,39015,4737,39015,953,2023-03-19T00:18:02Z,2025-08-22T02:12:43Z,2025-06-02T15:22:03Z,35345,Apache License 2.0,https://github.com/lm-sys/FastChat,https://github.com/lm-sys/FastChat.git,
656099147,mem0,mem0ai/mem0,mem0ai,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.,Python,38596,4015,38596,505,2023-06-20T08:58:36Z,2025-08-22T04:28:03Z,2025-08-21T17:57:28Z,41586,Apache License 2.0,https://github.com/mem0ai/mem0,https://github.com/mem0ai/mem0.git,"agents, ai, ai-agents, application, chatbots, chatgpt, genai, llm, long-term-memory, memory, memory-management, python, rag, state-management"
71932349,ray,ray-project/ray,ray-project,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,Python,38584,6728,38584,2995,2016-10-25T19:38:30Z,2025-08-22T03:33:44Z,2025-08-22T05:07:05Z,585774,Apache License 2.0,https://github.com/ray-project/ray,https://github.com/ray-project/ray.git,"data-science, deep-learning, deployment, distributed, hyperparameter-optimization, hyperparameter-search, large-language-models, llm, llm-inference, llm-serving, machine-learning, optimization, parallel, python, pytorch, ray, reinforcement-learning, rllib, serving, tensorflow"
522158088,chatgpt-on-wechat,zhayujie/chatgpt-on-wechat,zhayujie,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,Python,38566,9386,38566,344,2022-08-07T08:33:41Z,2025-08-22T02:28:34Z,2025-08-08T02:47:49Z,4459,MIT License,https://github.com/zhayujie/chatgpt-on-wechat,https://github.com/zhayujie/chatgpt-on-wechat.git,"ai, ai-agent, chatgpt, claude-4, deepseek, dingtalk, feishu-bot, gemini, gpt-4, kimi, linkai, llm, mcp, multi-agent, openai, python3, qwen, rag, wechat, wechat-bot"
